brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,photos_path,s3_path,product_dimensions
Adidas Originals,CAMPUS 80S MESAOFF WHITE,"₹ 10,999.00",adidas India Marketing Private Ltd.,China,adidas India Marketing Private Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,ID7317,"CLASSIC SHOES WITH 3-STRIPES ENERGY, MADE WITH SOFT SUEDE. Come for the contrast, stay for the style. These adidas shoes turn up the 3-Stripes vibe in two-tone hues that render them unmistakable. Made of soft suede, the upper keeps an eye on elevated style. The lining is soft leather, for a double dose of luxe. The heel tab echoes the design language of the sides, and the overall package is a show up to show out must-have pick.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/campus-80s-mesa-off-white,data/superkicks/men-classics-sneakers/photos/Adidas Originals/CAMPUS 80S MESAOFF WHITE,,
Reebok,CLASSIC LEATHER LEGACY AZ PURE GREY,"₹ 7,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,GZ9725,"VINTAGE-INSPIRED SHOES Be transported to the '70s every time you lace up these Reebok shoes. A fresh take on retro runners, they give you legit OG vibes. A leather upper and a TPU clip add texture and depth.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/classic-leather-legacy-az-pure-grey,data/superkicks/men-classics-sneakers/photos/Reebok/CLASSIC LEATHER LEGACY AZ PURE GREY,,
Reebok,CLASSIC LEATHER PURE GREY,"₹ 7,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,HP9158,"RETRO '80S SHOES REMADE WITH A FADED LEATHER UPPER Clean and crisp. Sharp lines stand out against the aged look of the leather upper on these Reebok Classic Leather shoes. The bleached out, well-used color of outdoor courts give you a worn-in look. A contrast heel tab and logos bring it all home.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/classic-leather-pure-grey,data/superkicks/men-classics-sneakers/photos/Reebok/CLASSIC LEATHER PURE GREY,,
Adidas Originals,GAZELLE COURT GREENGUM,"₹ 10,999.00",adidas India Marketing Private Ltd.,Vietnam,adidas India Marketing Private Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,IG0671,"ICONIC SUEDE SNEAKERS INSPIRED BY THE 1991 ITERATION. With their classic suede design and plethora of effortless yet elevated styling options, Gazelle shoes feel more relevant today than ever. This iteration takes their inspiration from the 1991 version in an exact replica, featuring authentic materials, a T-toe design and a molded tongue. Step out in time-honored style.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/gazelle-court-green-gum,data/superkicks/men-classics-sneakers/photos/Adidas Originals/GAZELLE COURT GREENGUM,,
Adidas Originals,FORUM MOD LOW CLOUD WHITEBEIGE,"₹ 10,999.00",Adidas,China,adidas India Marketing Private Limited,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,IE7113,"CLASSIC '80S TRAINERS MADE WITH RECYCLED AND VEGAN MATERIALS. The adidas Forum Mod shoes deliver playful expression and creativity with a nod to progressive design. This pair takes on sustainable vegan materials and is made in part with recycled materials to keep our environment in mind. The core elements still remain from the serrated 3-Stripes to the classic X-panel. An elongated midsole counter and midsole plugs add to the redefined look while energetic colour blocks keep style at the forefront. To reduce our reliance on virgin materials, we make sure that our vegan alternatives also contain a minimum of 25% recycled content.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/forum-mod-low-cloud-white-beige,data/superkicks/men-classics-sneakers/photos/Adidas Originals/FORUM MOD LOW CLOUD WHITEBEIGE,,
Reebok,CLASSIC NYLON CORE BLACK,"₹ 7,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,IG7147,"OLD-SCHOOL SHOES REIMAGINED WITH A DESIGN INSPIRED BY HOPE Everyone has a right to life, liberty and security of person. Make this message known with these Classic Nylon shoes. Suede overlays throughout the upper give them a textured look and feel. You can rock them with a pair of jeans or leggings — on your way to meet a few friends for coffee or as your everyday sneakers while you go through your daily routine.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/classic-nylon-core-black,data/superkicks/men-classics-sneakers/photos/Reebok/CLASSIC NYLON CORE BLACK,,
Nike,AIR MAX 95 OLIVE GREY,"₹ 10,497.00",Nike,Indonesia,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,DQ9468-355,"Taking inspiration from the human body and '90s athletics aesthetics, the Nike Air Max 95 mixes unbelievable comfort with head-turning style. The iconic side panels represent strength and use a selection of icy colours. Visible Air in the heel and forefoot cushions every step.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/air-max-95-olive-grey,data/superkicks/men-classics-sneakers/photos/Nike/AIR MAX 95 OLIVE GREY,,
Adidas Originals,GAZELLE ALUMINIUMWHITEBURGUNDY,"₹ 10,999.00",adidas India Marketing Private Ltd.,Vietnam,adidas India Marketing Private Ltd.,1.10 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,IG0672,"ICONIC SUEDE SNEAKERS INSPIRED BY THE 1991 ITERATION. With their classic suede design and plethora of effortless yet elevated styling options, Gazelle shoes feel more relevant today than ever. This iteration takes their inspiration from the 1991 version in an exact replica, featuring authentic materials, a T-toe design and a molded tongue. Step out in time-honored style.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/gazelle-aluminium-white-burgundy,data/superkicks/men-classics-sneakers/photos/Adidas Originals/GAZELLE ALUMINIUMWHITEBURGUNDY,,
Adidas Originals,CAMPUS 00S CORE BLACKSOLAR YELLOW,"₹ 11,999.00",ADIDAS,Vietnam,Adidas India Marketing Private Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,IE4708,"UPDATED CLASSIC SHOES SHOWING NOSTALGIC Y2K VIBES. These adidas Campus 00s shoes take all the core elements of the original adidas Campus to new levels. While still serving up that vintage look, this pair celebrates the Y2K aesthetic with colours and patterns that demand attention. The closure system allows you to double up on the laces, letting you experiment with different accents. Plus custom graphics on the insole and outsole add that finishing touch so you can take every step in style.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/campus-00s-core-black-solar-yellow,data/superkicks/men-classics-sneakers/photos/Adidas Originals/CAMPUS 00S CORE BLACKSOLAR YELLOW,,
Adidas Originals,CAMPUS 00S PINK GLOWCLOUD WHITECORE BLACK,"₹ 10,999.00",Adidas,Vietnam,Adidas India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,HQ8712,"BOLD SHOES WITH A CONFIDENT VIBE AND AN ICONIC HISTORY. An adidas signature makes a fresh comeback. Redesigned for today, these classic shoes take on modern shape and statement colour. A futuristic perspective plays around with proportions, and premium leather takes the upper to a whole new level.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/campus-00s-pink-glow-cloud-white-core-black,data/superkicks/men-classics-sneakers/photos/Adidas Originals/CAMPUS 00S PINK GLOWCLOUD WHITECORE BLACK,,
Nike,AIR MAX 90 LTR PEARL PINKBAROQUE BROWN,"₹ 8,957.00",,,,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FD0789-600,"Lace up and feel the legacy with the Nike Air Max 90 LTR. An iconic Waffle outsole and molded plastic accents help these kicks stay true to their roots while Max Air cushioning adds comfort to your every step. Crisp leather and soft, textured suede bring a premium look and feel to this classic sneaker.  Originally designed for performance running, visible Max Air cushioning puts the history of comfort beneath your feet. Stitched leather overlays and molded plastic accents add durability, comfort and the iconic '90s look you love. Padded, low-cut collar looks sleek and feels great. Rubber Waffle outsole delivers traction, durability and heritage style.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/air-max-90-ltr-pearl-pink-baroque-brown,data/superkicks/men-classics-sneakers/photos/Nike/AIR MAX 90 LTR PEARL PINKBAROQUE BROWN,,
Adidas Originals,CAMPUS 00S ENERGY INKCORE BLACK,"₹ 9,999.00",Adidas,Vietnam,Adidas India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,HQ8710,"CLASSIC SHOES REINVENTED FOR TODAY'S MINDSET. Proportions are getting bigger. People are getting bolder. Inspired by the current mindset, these shoes remix the iconic adidas Campus 80s style for a fresh look that fits today's style and culture. We've updated the proportions and colour palette to the leather upper. Classic 3-Stripes paired with Y2K branding create a new Campus identity for you to define.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/campus-00s-energy-ink-core-black,data/superkicks/men-classics-sneakers/photos/Adidas Originals/CAMPUS 00S ENERGY INKCORE BLACK,,
Reebok,CLASSIC LEATHER VECTOR REDVECTOR BLUEWHITE,"₹ 7,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,IE9384,"SIGNATURE REEBOK SHOES WITH A MIX OF THROWBACK ACCENTS These Reebok Classic Leather shoes bring it all together. The iconic Reebok Vector will turn 30, so it's embroidered on the heel tab. An embroidered Classic Leather on the tongue lets the world know which icon you're wearing. Hits of '90s color gives you the final signoff.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/classic-leather-vector-red-vector-blue-white,data/superkicks/men-classics-sneakers/photos/Reebok/CLASSIC LEATHER VECTOR REDVECTOR BLUEWHITE,,
Adidas Originals,CAMPUS 80S GREY,"₹ 10,999.00",adidas India Marketing Private Limited,Vietnam,adidas India Marketing Private Limited,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FZ6154,"THESE SHOES PAY TRIBUTE TO THE TIMELESS CAMPUS DESIGN. An icon of adidas Originals. A favourite among subcultures and style pioneers. The Campus trainer has made an impact on culture with its low-key look and distinctively retro style. Honouring that legacy, this iteration of the shoes remains unchanged. It has a premium nubuck upper, a luxe leather lining, contrast 3-Stripes and a rubber outsole. All the details that Campus fans covet.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/campus-80s-grey,data/superkicks/men-classics-sneakers/photos/Adidas Originals/CAMPUS 80S GREY,,
Adidas Originals,STAN SMITH WHITEBRONZE STRAIGHTER,"₹ 10,999.00",Adidas India Pvt. Ltd.,India,Adidas India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,ID2031,"Once you've found the perfect pair of sneakers for you, stick with them. That's why the Stan Smith continues to stand out as one of Adidas' most beloved styles. This season's ever-evolving Stan Smith model incorporates fine leather and a vintage-inspired gum outsole for a more high-end feel. Classic and comfortable to wear, these shoes will add strength to any outfit.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/stan-smith-white-bronze-straighter,data/superkicks/men-classics-sneakers/photos/Adidas Originals/STAN SMITH WHITEBRONZE STRAIGHTER,,
Adidas Originals,CAMPUS CORE BLACKCLOUD WHITE,"₹ 12,999.00",Adidas India Pvt. Ltd.,China,Adidas India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,ID2169,"ICONIC Y2K SHOES INSPIRED BY EARLY RAVE CULTURE. A one-to-one reissue from our early 2000s Millennium Series, these adidas Campus Shoes are back with the beat of the dance floor pulsing through them. Unique lines and details call back the vibe of rave culture in the '90s and early 2000s. Plush EVA cushioning helps carry you through long nights.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/campus-core-black-cloud-white,data/superkicks/men-classics-sneakers/photos/Adidas Originals/CAMPUS CORE BLACKCLOUD WHITE,,
Reebok,CLASSIC LEATHER BROWN,"₹ 7,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,GY9753,"CLASSIC LEATHER SHOES READY TO TACKLE THE ELEMENTS Head out even when the weather shifts. Born in the '80s, these Classic Leather shoes update an icon. Winterised materials and extra traction on the outsole give you a style and feel that's ready for cold-weather adventures. A Union Jack logo, a crosscheck and side stripes root them in authentic Reebok style. The upper mixes up your look in soft suede and rugged CORDURA® for texture and depth.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/classic-leather-brown,data/superkicks/men-classics-sneakers/photos/Reebok/CLASSIC LEATHER BROWN,,
Asics,EX89 WHITECLASSIC RED,"₹ 9,999.00",Asics,Vietnam,Asics India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,1201A476.111,The Ex89™ Sneaker Blends The Heritage Influences Of The Gel-Extreme Basketball Shoe From 1989 With Modern Cushioning Properties. It Was Originally Created By Toshikazu Kayano In The Late 1980S As His First Design Project With Asics. The Upper’S Layered Leather Construction Is Also Met With Spirited Color Blocking That Matches The Era’S Iconic Nba Team Uniforms.  We Updated The Cushioning System With Our Ff Blast™ Technology. It'S Met With A Sculpted Heel Shape To Improve Underfoot Comfort During Everyday Scenarios. The Outsole’S Pattern Is Meant To Mirror The View Of A City From The Sky. This Functional Grip Feature Was Initially Inspired By The Designer’S First Business Trip To The United States In 1987.,men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/ex89-white-classic-red,data/superkicks/men-classics-sneakers/photos/Asics/EX89 WHITECLASSIC RED,,
Reebok,MAHARISHI CL LTHR 1983 VI BLACK,"₹ 11,199.00",Reebok India Pvt. Ltd.,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,HP3241,REEBOK X MAHARISHI SHOES THAT ARE PART OF REEBOK'S [REE]CYCLED COLLECTION Embrace the intersection of art and nature. These Reebok x Maharishi shoes flash a vintage-inspired look with a durable ripstop upper and suede side stripes. The soft midsole cushions your every step. A Maharishi signoff appears where the Reebok logo would be for a unique spin on sporty style.,men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/maharishi-cl-lthr-1983-vi-black,data/superkicks/men-classics-sneakers/photos/Reebok/MAHARISHI CL LTHR 1983 VI BLACK,,
Reebok,EAMES CLASSIC LEATHER SANDTRAP,"₹ 9,599.00",Reebok India Pvt. Ltd.,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FZ5861,OLD-SCHOOL REEBOK SHOES DESIGNED IN COLLABORATION WITH EAMES Mid-century aesthetic meets retro '80s Reebok style. The legendary designers who started Eames inspired the look of these Classic Leather shoes. The clean trainers get a bump up with an Eames logo and signature sockliner. A supple leather upper adds a luxe touch.,men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/eames-classic-leather-sandtrap,data/superkicks/men-classics-sneakers/photos/Reebok/EAMES CLASSIC LEATHER SANDTRAP,,
Reebok,ENGINEERED GARMENTS LX2200 SOFT CAMEL,"₹ 7,799.00",Reebok India Pvt. Ltd.,China,Reebok India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FZ5847,"TRACK-AND-FIELD-INSPIRED SHOES WITH AN ASYMMETRICAL DESIGN Bold and fearless. These Reebok shoes are inspired by the wild, and have a printed sockliner that nods to the animal kingdom. Asymmetrical patterns on the nylon and suede upper give them a unique look. Deep flex grooves on the outsole keep you comfortable every step of the way.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/engineered-garments-lx2200-soft-camel,data/superkicks/men-classics-sneakers/photos/Reebok/ENGINEERED GARMENTS LX2200 SOFT CAMEL,,
Clarks Originals,DESERT BOOT NAVY,"₹ 14,999.00",Clarks Rellance Footwear Pvt. Ltd.,Vietnam,Clarks Rellance Footwear Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,26169154,"An understated addition to our Sashiko pack, the Desert Boot is embellished with subtle Japanese embroidery and handstitched detailing. Completed with a blossom printed sock liner, and grosgrain heel tape for a crafted feel.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/desert-boot-navy,data/superkicks/men-classics-sneakers/photos/Clarks Originals/DESERT BOOT NAVY,,
Reebok,DC X CLUB C JOKER PURPLEBLACK,"₹ 7,999.00",Reebok India Pvt. Ltd.,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,HQ4573,"The latest addition to the DC Comics x Reebok collection, this special edition of the Club C is inspired by the Joker. Opting for a unique look and design, standout details on this pair include acid-washed corduroy, suit-inspired pockets and restored suit patches. Ripping off the underlying details revealed his chemically stained skin and a stash pocket inside the tongue containing the iconic Joker’s card. Lastly, the sneaker also comes with Joker branded tongues and insoles along with DC and Reebok embroidery on the heels.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/dc-x-club-c-joker-purple-black,data/superkicks/men-classics-sneakers/photos/Reebok/DC X CLUB C JOKER PURPLEBLACK,,
Puma,AMI RIDER FV FADED DENIM,"₹ 9,599.00",Puma Spoarts india pvt. ltd,China,Puma Spoarts india pvt. ltd,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,386668_01,"WE ARE F(AMI)LY. These Rider FV sneakers from the second season of PUMA x AMI are guided by the creative vision of the Parisian label, finding the balance between relaxed and refined, amiable and edgy, streetwear and sportswear – just like every item from season one. DETAILS  Textile and suede upper PUMA Formstrip on the medial and lateral sides AMI logo with integrated PUMA Cat on the tongue",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/ami-rider-fv-faded-denim,data/superkicks/men-classics-sneakers/photos/Puma/AMI RIDER FV FADED DENIM,,
Adidas Originals,CAMPUS 80S WONDER REDOFF WHITE,"₹ 7,999.00",adidas India Marketing Private Ltd.,Vietnam,adidas India Marketing Private Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,GY4583,"CAMPUS SHOES WITH A SPOTLIGHT ON PARIS, MADE IN PART WITH RECYCLED CONTENT. The beloved adidas Campus shoes have always been an icon steeped in different cultural and community influences. Over decades, the sneakers have told stories through their iterations. With this version, they reference the less talked about, but wildly cherished parts of Paris. The soft, pastel pink and textured canvas upper is reminiscent of Parisian rug shops and the long hours spent browsing within — something these comfortable shoes are completely down for. Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content. Details  Regular fit Lace closure Textile upper Leather lining Rubber outsole 25% of the components used to make the upper are made with a minimum of 50% recycled content Imported",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/campus-80s-wonder-red-off-white,data/superkicks/men-classics-sneakers/photos/Adidas Originals/CAMPUS 80S WONDER REDOFF WHITE,,
Adidas Originals,CAMPUS 80S PANTONEWHITE,"₹ 7,999.00",adidas India Marketing Private Ltd.,Vietnam,adidas India Marketing Private Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,GY4591,"CAMPUS 80S SHOES AN UNDERSTATED CLASSIC, UPDATED TO HONOUR THE STYLE OF SHANGHAI. Born on the basketball court, the adidas Campus shoes have long been a favourite of subcultures around the world. From skaters to scenesters, they're an underground icon. And that is why we've dedicated this pair to another vibrant culture — the city of Shanghai. Soft colour and patterns borrow the look of pyjamas, so you can wear the cosiness of home out into the city's streets.  Details   Regular fit Lace closure Textile upper Textile lining Rubber outsole",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/campus-80s-pantone-white,data/superkicks/men-classics-sneakers/photos/Adidas Originals/CAMPUS 80S PANTONEWHITE,,
