brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,photos_path,product_dimensions
Converse,CHUCK 70 CRAFTED OLLIE PATCH 'KHAKI/OFF WHITE',"₹ 6,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04500C,"all-ready canvas gets a bandana woven jacquard ollie patch to bring a crafted look to the premium Chuck 70. From the art studio, to wherever you feel most cozy, this look is easy to wear all-year long. WHY YOU SHOULD BE DOWN  High-top shoe with upper made from polyester canvas and bandana jacquard OrthoLite cushioning for all-day comfort Bandana woven jacquard ollie patch for crafted look Embroidered heel overlay Screenprinted canvas All Star patch with embroidered edge",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-70-crafted-ollie-patch-khaki-off-white,data/superkicks/men-sneakers/photos/Converse/CHUCK 70 CRAFTED OLLIE PATCH 'KHAKI/OFF WHITE',
Nike,DUNK LOW RETRO PREMIUM 'OIL GREEN/OLIVE AURA-PHANTOM',"₹ 9,695.00",Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,shoe,1 Pair,Superkicks India Pvt. Ltd.,FB8895-300,"Created for the hardwood but taken to the streets, the '80s b-ball icon returns with classic details and throwback hoops flare. Channeling vintage style back onto the streets, its padded, low-cut collar lets you take your game anywhere—in comfort.Upper ages to soft perfection and features a durable construction reminiscent of '80s b-ball.Foam midsole offers lightweight, responsive cushioning.Rubber outsole with classic hoops pivot circle adds durability, traction, and heritage style.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/dunk-low-retro-premium-oil-green-olive-aura-phantom,data/superkicks/men-sneakers/photos/Nike/DUNK LOW RETRO PREMIUM 'OIL GREEN/OLIVE AURA-PHANTOM',
Adidas Originals,SUPERSTAR 'MAROON/WONDER WHITE/WHITE',"₹ 11,999.00",Adidas,Indonesia,adidas India Marketing Private Limited,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,IF8071,"SIGNATURE SHOES WITH A NEW TAKE ON THE TREFOIL. Cultural icon. Timeless must-have. Whatever you call the adidas Superstar shoes, you know they never go out of style. This release gives the Trefoil fresh perspective with an embossed detail on the tongue outlined for a high-contrast look. The confident look keeps going with a colourblocked design that stands out and adds the perfect punch to any casual outfit (dressy ones, too). A smooth leather upper looks luxe and feels great, and the rubber outsole rounds out the silhouette.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/superstar-maroon-wonder-white-white,data/superkicks/men-sneakers/photos/Adidas Originals/SUPERSTAR 'MAROON/WONDER WHITE/WHITE',
Reebok,HURRIKAZE II 'FTWR WHITE/CORE BLACK/GLEN GREEN',"₹ 10,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,100033879,"One of the most eye-catching styles of the '90s is back, remixed with modern materials. These men's Reebok shoes have a nubuck and suede upper with eye-catching color contrast. Rock them to meet up some friends and show you've got that hoops DNA.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/hurrikaze-ii-ftwr-white-core-black-glen-green,data/superkicks/men-sneakers/photos/Reebok/HURRIKAZE II 'FTWR WHITE/CORE BLACK/GLEN GREEN',
Nike,AIR FORCE 1 '07 'LT OREWOOD BRN/SAIL-COCONUT MILK',"₹ 9,695.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,FQ8077-104,"An aged neutral palette updates this icon for timeless style that's easy to wear. Soft suede pairs with an exposed foam tongue for a retro look. Of course, some things never change: Nike Air units still cushion your every step.From tough stitching to pristine materials to the cupsole design, these kicks deliver durable style that's smoother than backboard glass.Originally designed for performance hoops, Nike Air cushioning delivers lasting comfort.Low-cut, padded collar looks sleek and feels great.Rubber outsole with hoops pivot circles adds heritage style and durable traction.More Details  Leather Swoosh logo Foam midsole Perforation on toe",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-force-1-07-lt-orewood-brn-sail-coconut-milk,data/superkicks/men-sneakers/photos/Nike/AIR FORCE 1 '07 'LT OREWOOD BRN/SAIL-COCONUT MILK',
Puma,PLEXUS SAND 'IVORY/VAPOR GRAY',"₹ 11,999.00",Puma,China,Puma India Pvt. Ltd.,0.95kg,shoe,1 Pair,Superkicks India Pvt. Ltd.,39315701,"Ushering in an evolution in footwear, the Plexus challenges expectations of what a sneaker should look and feel like. It combines an athletic silhouette with a disruptive visual language, turning practical features like laces into a striking design highlight. This version takes inspiration from the desert and adds in our performance PUMAGRIP-ATR outsole, so you can tackle any trail.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/plexus-sand-ivory-vapor-gray,data/superkicks/men-sneakers/photos/Puma/PLEXUS SAND 'IVORY/VAPOR GRAY',
Converse,WMN'S CHUCK TAYLOR ALL STAR MOVE PLATFORM 'BLACK',"₹ 4,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,568497C,"HER MOVE. You already know our high-topthat canvas upper, the diamond pattern outsole, and iconic ankle patch. We streamlined this classic silhouette for her and dropped it into an ultra-lightweight EVA cupsole, giving you the Chuck Taylor All Star Move. With extra comfort and height. There she goes.  High-top, platform sneaker with canvas upper Classic star ankle patch Beveled-edge eyelets for modern look EVA cushioning makes it lightweight Die-cut SmartFOAM sockliner for extra comfort",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/run-star-hike-canvas-platform-black,data/superkicks/men-sneakers/photos/Converse/WMN'S CHUCK TAYLOR ALL STAR MOVE PLATFORM 'BLACK',
Jordan,AIR JORDAN 11 RETRO LOW IE 'BLACK/BLACK-WHITE',"₹ 16,995.00",Nike,Vietnam,Nike India Private Ltd.,1.10 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,919712-001,LEGENDARY LOOK.The Air Jordan 11 Retro Low IE Shoe offers a fresh take on one of the most beloved Jordan designs ever. It's built with lightweight and breathable materials. Full-length Air cushioning combines with premium details for the ultimate fusion of style and comfort.Real and synthetic leather and textile material in the upper for durability.Full-length Air-Sole unit provides soft cushioning.Lightweight composite midsole component provides stability.Rubber outsole features a modified herringbone traction pattern.,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-jordan-11-retro-low-ie-black-black-white,data/superkicks/men-sneakers/photos/Jordan/AIR JORDAN 11 RETRO LOW IE 'BLACK/BLACK-WHITE',
Adidas Originals,NITEBALL 'OFF WHITE/CLOUD WHITE',"₹ 12,999.00",Adidas,China,adidas India Marketing Private Limited,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,IF2604,"EXCITING ADIDAS SNEAKERS WITH SHINY ELEMENTS. Embodying the energy and spirit of basketball, these adidas sneakers provide an energy boost that will be felt from head to toe. Vintage collegiate inspiration shows in the aged colour treatment while the metallic accents are straight up state-of-the-art. Ultralight responsive Lightstrike cushions every step. Wave-like 3D moulding washes style over your feet.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/niteball-off-white-cloud-white,data/superkicks/men-sneakers/photos/Adidas Originals/NITEBALL 'OFF WHITE/CLOUD WHITE',
Converse,WMN'S CHUCK TAYLOR ALL STAR MOVE PLATFORM 'WHITE',"₹ 4,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,568498C,"HER MOVE. You already know our high-topthat canvas upper, the diamond pattern outsole, and iconic ankle patch. We streamlined this classic silhouette for her and dropped it into an ultra-lightweight EVA cupsole, giving you the Chuck Taylor All Star Move. With extra comfort and height. There she goes.  High-top, platform sneaker with canvas upper Classic star ankle patch Beveled-edge eyelets for modern look EVA cushioning makes it lightweight Die-cut SmartFOAM sockliner for extra comfort",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/wmns-chuck-taylor-all-star-move-platform-white,data/superkicks/men-sneakers/photos/Converse/WMN'S CHUCK TAYLOR ALL STAR MOVE PLATFORM 'WHITE',
Converse,CONS AS-1 PRO 'OPTICAL WHITE',"₹ 6,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04597C,"Experience CONS most innovative skate model to date, in a fresh colorway. Brought to you by one the world's top skateboarders, Alexis Sablone, the AS-1 Pro turns to retro skateboarding styles for a cupsole performance shoe unlike any other. Rubber pods jut through the upper for visible durability. For optimum boardfeel, an innovative coring system puts you closer to the board, and distributes impact cushioning beyond the sockliner. Finished with a herringbone outsole for maximum traction, giving you the best grip—straight out the box.  Low-top skateboarding shoe with a full leather upper for optimal durability. CX foam sockliner for impact cushioning. Engineered coring for increased cushioning. Durable cotton laces. Bold, color-pop Star Chevron.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/cons-as-1-pro-optical-white,data/superkicks/men-sneakers/photos/Converse/CONS AS-1 PRO 'OPTICAL WHITE',
Converse,CHUCK 70 AT-CX FUTURE COMFORT 'OFF WHITE',"₹ 7,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A01682C,"Transforming the best ever into a style icon of the future, the Chuck 70 AT-CX delivers elevation like never before. A 50% recycled cotton canvas upper and tongue get a lift from a chunky CX foam midsole and sockliner for recycled, exaggerated comfort. Classic Chuck 70 details like a star ankle patch, aluminum eyelets, and cotton laces keep up the heritage look, while a diamond lugged outsole delivers additional traction.  High-top sneaker with 50% recycled cotton canvas upper TPU Bosey toe for added durability CX foam midsole and sockliner for added comfort Chuck 70 details like star ankle patch and cotton laces Diamond lugged outsole for additional traction",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-70-at-cx-future-comfort-off-white,data/superkicks/men-sneakers/photos/Converse/CHUCK 70 AT-CX FUTURE COMFORT 'OFF WHITE',
Nike,AIR FORCE 1 '07 'TRIPLE WHITE',"₹ 7,495.00",LOTUS FOOTWEAR ENTERPRISES LIMITED,India,Nike India Private Limited,0.95 KG,SHOE,1 Pair,SUPER KICKS INDIA PVT. LTD,CW2288-111,"The radiance lives on in the Nike Air Force 1 ’07, the b-ball OG that puts a fresh spin on what you know best: durably stitched overlays, clean finishes and the perfect amount of flash to make you shine.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-force-1-07-triple-white-1,data/superkicks/men-sneakers/photos/Nike/AIR FORCE 1 '07 'TRIPLE WHITE',
Reebok,CLASSIC LEARHER HEXALITE +'HOOPS BLUE/CHALK/ALABASTER',"₹ 9,599.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,IG0718,"Inspired by Reebok court shoes from the late '80s, these kicks have a retro look and a luxe feel thanks to delicate details on the upper. A net-shaped piece on the sidewall nods to tennis while giving it a look you can rock anywhere.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/classic-learher-hexalite-hoops-blue-chalk-alabaster,data/superkicks/men-sneakers/photos/Reebok/CLASSIC LEARHER HEXALITE +'HOOPS BLUE/CHALK/ALABASTER',
Toms,RESIDENT INDIGO RIPSTOP 'INDIGO',"₹ 8,499.00",TOMS Shoes,China,V Retail Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,10020278,"Inspired by our bestselling Alpargata, the Alp Resident 2.0 brings comfort and durability together in one shoe. Now designed with an increased midsole height for extra flexibility and comfort, so you'll be ready for whatever the day brings.  Ripstop uppers. Total outsole height at heel is 1 1/4"". OrthoLite® Eco LT Hybrid™ insoles made with 26% eco content (15% waste foam, 5% recycled content & 6% bio-oils). New midsole height for extra comfort. EVA midsole with rubber sole. Vegan Elastic knit collar. Nubuck PU heel pull. TOMS is a proud member of the Fair Labor Association—working with suppliers that conduct their businesses ethically, engage with workers, ensure safe working conditions, and establish human rights compliance and social responsibility. When you buy TOMS, you help fund access to mental health resources for the millions of people who need them. Wear TOMS. WEAR GOOD.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/resident-indigo-ripstop-indigo,data/superkicks/men-sneakers/photos/Toms/RESIDENT INDIGO RIPSTOP 'INDIGO',
Converse,CHUCK 70 AT-CX HIGH 'BLACK',"₹ 9,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A07987C,High-top platforms with canvas upper A CX foam midsole and sockliner keep it lightweight and comfortable Distorted rubber pinstripe bumpers for style and easy-off functionality Exaggerated collar and canvas winged tongue for ease of entry Premium laces and a faux leather patch elevate the design,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-70-at-cx-high-black,data/superkicks/men-sneakers/photos/Converse/CHUCK 70 AT-CX HIGH 'BLACK',
Adidas Originals,BAD BUNNY CAMPUS 'SUPCOL/SUPCOL/CWHITE',"₹ 15,999.00",Adidas,Indonesia,adidas India Marketing Private Limited,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,ID2529,"SIGNATURE SHOES SPARKED BY THE CREATIVE VISION OF BAD BUNNY. Contoured outsoles. Bold 3-Stripes. And casual style for days. These adidas Campus shoes uphold everything you love about the classic Campus design, but this time with the unmistakable look of a Bad Bunny collaboration. A smooth leather upper conforms to your foot, and a soft interior lining keeps every step comfortable.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/bad-bunny-campus-supcol-supcol-cwhite,data/superkicks/men-sneakers/photos/Adidas Originals/BAD BUNNY CAMPUS 'SUPCOL/SUPCOL/CWHITE',
Adidas Originals,RIVALRY LOW 'GREEN/WHITE',"₹ 8,999.00",Adidas,China,adidas India Marketing Private Limited,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,IE7209,"SKATE-INSPIRED SHOES WITH COMFORTABLE DETAILS AND TIMELESS STYLE. It's not hard to see why the adidas Rivalry quickly became the shoes of choice for skaters everywhere. Now they've evolved to appeal to the masses — and they're perfect for everyday style. Somehow both chunky and sleek, the timeless silhouette is versatile enough to match up with anything. This release is made with a durable upper that's soft and comfortable. Lace up and you're ready for your next adventure. No skateboard required.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/rivalry-low-green-white,data/superkicks/men-sneakers/photos/Adidas Originals/RIVALRY LOW 'GREEN/WHITE',
Converse,CHUCK 70 PLUS HI 'BLACK/EGRET/BLACK',"₹ 6,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A00916C,"The Converse Chuck 70 Plus Canvas is a convincing new edition of the Converse classic and features a futuristic, black and white design with iconic details, also in Women's with smaller sizes. Eye-catchers are the asymmetrical lines and the split rubber, which give the chuck an expressive look. The characteristic logo patch in the ankle area should not be missing. The OrthoLite® insole allows for an optimally cushioned and therefore very pleasant walking experience.  Textile upper Lacing system Textile lining Rubber outsole Ventilation holes Rubber toe cap Metal eyelets",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-70-plus-hi-black-egret-black,data/superkicks/men-sneakers/photos/Converse/CHUCK 70 PLUS HI 'BLACK/EGRET/BLACK',
Adidas Originals,NMD_R1 'CORE BLACK/CARBON/GREY FIVE',"₹ 14,999.00",Adidas,Vietnam,adidas India Marketing Private Limited,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,IG5535,"SLEEK TRAINERS MADE IN PART WITH RECYCLED MATERIALS. The adidas NMD_R1 shoes are made for trailblazers, city explorers and those who just want to stay comfortable. The iconic silhouette never fails to energise your style — and this version takes a fresh approach with lengthwise weldings and a double-layer mesh upper with a graphic print underneath. The responsive BOOST midsole will go as far as you will — so don't be timid. Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/nmd_r1-core-black-carbon-grey-five,data/superkicks/men-sneakers/photos/Adidas Originals/NMD_R1 'CORE BLACK/CARBON/GREY FIVE',
Nike,AIR FORCE 1 '07 'LT IRON ORE/LT IRON ORE-LT OREWOOD BRN',"₹ 11,895.00",Nike,Vietnam,Nike India Private Ltd.,1.10 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,FD3365-001,"Classic and comfortable, you'll want to wear these AF1s time after time. Smooth suede and a plush collar give these kicks a premium feel, while the gum sole adds a retro look. Of course, some things never change: Nike Air units still cushion your every step.timeFrom tough stitching to pristine materials to the cupsole design, these kicks deliver durable style that's smoother than backboard glass.Originally designed for performance hoops, Nike Air cushioning provides lasting comfort.Low-cut, padded collar looks sleek and feels great.Rubber outsole with hoops pivot circles adds durable traction and heritage style.More Details  Rope laces Foam midsole Perforation on toe",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-force-1-07-lt-iron-ore-lt-iron-ore-lt-orewood-brn,data/superkicks/men-sneakers/photos/Nike/AIR FORCE 1 '07 'LT IRON ORE/LT IRON ORE-LT OREWOOD BRN',
